transaction_id,user_id,sender_upi,receiver_upi,amount,timestamp,device_id,location,is_new_device,transaction_velocity,avg_transaction_amount,amount_deviation,hour_of_day,is_night,failed_attempts_last_24h,account_age_days,merchant_risk_score,graph_risk_score,behavior_score,label,transaction_type,fraud_pattern,scenario_profile
TXN_20260101_0003179,user_00075,user_00075@okbank,merchant_00537@upi,925.38,2026-01-01T20:59:00,DEV_00075_A,Kolkata,0,4,1095.38,-0.4193,20,0,0,130,0.2197,0.3484,0.0366,0,bill_payment,normal,standard
TXN_20260101_0000977,user_00776,user_00776@okbank,merchant_00055@upi,1284.19,2026-01-01T21:20:00,DEV_00776_A,Ahmedabad,0,1,1161.23,0.213,21,0,1,350,0.1281,0.4398,0.03,0,transfer,normal,standard
TXN_20260101_0001073,user_01154,user_01154@okbank,merchant_00574@upi,1996.08,2026-01-01T21:31:00,DEV_01154_A,Kolkata,0,6,1785.29,0.294,21,0,1,121,0.3113,0.2119,0.1357,0,recharge,normal,standard
TXN_20260101_0004516,user_00444,user_00444@okbank,mule.collector.36@upi,3581.9,2026-01-01T21:32:00,DEV_00444_A,Pune,0,7,1957.11,2.0785,21,0,0,1815,0.6853,0.9741,0.5485,1,transfer,suspicious_graph_connections,fraud_severe
TXN_20260101_0002105,user_00080,user_00080@okbank,merchant_00685@upi,1098.12,2026-01-01T21:38:00,DEV_00080_A,Mumbai,0,3,1160.63,-0.1755,21,0,0,1585,0.3487,0.3153,0.0551,0,transfer,normal,standard
TXN_20260101_0001206,user_00057,user_00057@okbank,merchant_01649@upi,1110.4,2026-01-01T21:45:00,DEV_00057_A,Mumbai,0,7,1252.71,-0.3454,21,0,1,2452,0.0763,0.0721,0.0533,0,purchase,normal,standard
TXN_20260101_0003243,user_00582,user_00582@okbank,merchant_00479@upi,1391.47,2026-01-01T21:48:00,DEV_00582_A,Mumbai,0,1,876.19,1.1483,21,0,1,1383,0.2308,0.2128,0.0247,0,purchase,normal,standard
TXN_20260101_0001711,user_00273,user_00273@okbank,merchant_00770@upi,673.04,2026-01-01T22:33:00,DEV_00273_A,Mumbai,0,1,844.91,-0.9364,22,0,0,1055,0.3765,0.5832,0.1561,0,recharge,normal,standard
TXN_20260102_0000809,user_00924,user_00924@okbank,merchant_01746@upi,2160.88,2026-01-02T00:32:00,DEV_00924_A,Ahmedabad,0,3,3135.8,-1.2245,0,1,1,1604,0.1367,0.4163,0.1368,0,purchase,normal,standard
TXN_20260102_0003958,user_01021,user_01021@okbank,urgent.kyc.verify.208@upi,15309.53,2026-01-02T00:46:00,DEV_01021_A,Ahmedabad,0,10,1974.68,32.3533,0,1,10,420,0.7818,0.7646,0.6408,1,transfer,high_amount_new_device,fraud_severe
TXN_20260102_0004339,user_01177,user_01177@okbank,merchant_00130@upi,791.63,2026-01-02T02:58:00,DEV_01177_A,Ahmedabad,0,1,1387.17,-0.9876,2,1,1,1150,0.2571,0.4333,0.2003,0,bill_payment,normal,normal_edge_normal_night_low_amount
TXN_20260102_0000706,user_01311,user_01311@okbank,merchant_01606@upi,2556.46,2026-01-02T06:09:00,DEV_FAIL_000706,Chennai,1,25,1670.88,1.5499,6,0,11,2443,0.7268,0.5685,0.8828,1,transfer,high_failed_attempts,fraud_severe
TXN_20260102_0001641,user_00337,user_00337@okbank,merchant_01025@upi,16182.72,2026-01-02T06:54:00,DEV_DEV_001641,Delhi,1,23,2169.91,21.2183,6,0,6,1032,0.7776,0.7213,1.0,1,transfer,large_amount_deviation,fraud_severe
TXN_20260102_0004865,user_01387,user_01387@okbank,merchant_01458@upi,1219.11,2026-01-02T07:55:00,DEV_01387_A,Pune,0,3,1235.27,-0.0314,7,0,2,3092,0.136,0.317,0.0365,0,recharge,normal,standard
TXN_20260102_0005364,user_01001,user_01001@okbank,merchant_01006@upi,1366.28,2026-01-02T08:18:00,DEV_01001_A,Mumbai,0,3,1168.85,0.7429,8,0,0,722,0.1275,0.2094,0.1147,0,bill_payment,normal,standard
TXN_20260102_0000837,user_00885,user_00885@okbank,merchant_01175@upi,1328.16,2026-01-02T08:20:00,DEV_00885_A,Hyderabad,0,4,781.61,1.4137,8,0,1,1683,0.4846,0.4594,0.213,0,purchase,normal,standard
TXN_20260102_0004559,user_01347,user_01347@okbank,merchant_00988@upi,1543.32,2026-01-02T08:48:00,DEV_01347_A,Mumbai,0,4,1891.17,-0.4198,8,0,0,221,0.1222,0.1468,0.1129,0,bill_payment,normal,standard
TXN_20260102_0000100,user_00312,user_00312@okbank,merchant_00605@upi,973.41,2026-01-02T09:04:00,DEV_00312_A,Mumbai,0,3,1337.24,-0.7118,9,0,0,1770,0.1091,0.2684,0.1029,0,purchase,normal,standard
TXN_20260102_0000639,user_01213,user_01213@okbank,merchant_01290@upi,421.55,2026-01-02T09:14:00,DEV_01213_A,Pune,0,3,567.02,-0.7474,9,0,0,1550,0.5116,0.3421,0.0476,0,purchase,normal,standard
TXN_20260102_0000593,user_01002,user_01002@okbank,merchant_01017@upi,1234.77,2026-01-02T09:43:00,DEV_01002_B,Delhi,1,5,1813.22,-0.7107,9,0,0,2047,0.14,0.4022,0.3025,0,recharge,normal,standard
TXN_20260102_0000113,user_00012,user_00012@okbank,merchant_00000@upi,899.37,2026-01-02T09:50:00,DEV_00012_A,Hyderabad,0,1,749.03,0.6911,9,0,0,2380,0.1837,0.2566,0.0937,0,purchase,normal,standard
TXN_20260102_0005704,user_00949,user_00949@okbank,merchant_01131@upi,6320.84,2026-01-02T09:53:00,DEV_00949_A,Ahmedabad,0,2,5348.77,0.4512,9,0,1,2696,0.3637,0.1812,0.0814,0,transfer,normal,standard
TXN_20260102_0002910,user_00416,user_00416@okbank,merchant_01193@upi,1987.71,2026-01-02T10:07:00,DEV_00416_A,Mumbai,0,1,2319.7,-0.3076,10,0,0,3360,0.3853,0.26,0.0,0,recharge,normal,standard
TXN_20260102_0004173,user_00488,user_00488@okbank,merchant_01582@upi,997.11,2026-01-02T10:29:00,DEV_00488_A,Delhi,0,2,1365.52,-0.5403,10,0,0,239,0.1209,0.3154,0.1254,0,purchase,normal,standard
TXN_20260102_0001490,user_00403,user_00403@okbank,merchant_00879@upi,3655.06,2026-01-02T10:30:00,DEV_00403_A,Pune,0,3,3288.36,0.2977,10,0,1,3194,0.0765,0.2908,0.0,0,transfer,normal,standard
TXN_20260102_0002703,user_00852,user_00852@okbank,merchant_01188@upi,1453.86,2026-01-02T10:38:00,DEV_00852_A,Chennai,0,1,1003.28,0.9744,10,0,0,2154,0.1531,0.5679,0.178,0,bill_payment,normal,standard
TXN_20260102_0004322,user_01381,user_01381@okbank,merchant_01262@upi,648.12,2026-01-02T11:05:00,DEV_01381_A,Mumbai,0,3,1165.74,-1.4366,11,0,2,1039,0.1459,0.2812,0.0,0,purchase,normal,standard
TXN_20260102_0002439,user_00309,user_00309@okbank,merchant_00548@upi,2435.45,2026-01-02T12:04:00,DEV_00309_A,Pune,0,1,2372.63,0.1082,12,0,0,2494,0.1044,0.0767,0.0,0,transfer,normal,standard
TXN_20260102_0005095,user_00093,user_00093@okbank,merchant_01347@upi,1985.16,2026-01-02T13:06:00,DEV_00093_A,Hyderabad,0,1,1743.99,0.3793,13,0,1,479,0.2716,0.2322,0.0,0,purchase,normal,standard
TXN_20260102_0005435,user_01320,user_01320@okbank,merchant_01085@upi,1999.62,2026-01-02T13:23:00,DEV_01320_A,Pune,0,1,2592.32,-0.5224,13,0,1,2354,0.1769,0.1817,0.1485,0,bill_payment,normal,normal_edge_normal_night_low_amount
TXN_20260102_0000984,user_00471,user_00471@okbank,merchant_01630@upi,2196.18,2026-01-02T13:51:00,DEV_00471_A,Ahmedabad,0,2,2407.33,-0.2208,13,0,0,3367,0.2451,0.0468,0.0643,0,transfer,normal,standard
TXN_20260102_0002891,user_00952,user_00952@okbank,merchant_01550@upi,1880.59,2026-01-02T14:21:00,DEV_00952_A,Pune,0,6,2494.37,-0.8661,14,0,0,1171,0.0958,0.1401,0.2191,0,purchase,normal,standard
TXN_20260102_0004332,user_01131,user_01131@okbank,merchant_00296@upi,1832.29,2026-01-02T14:30:00,DEV_01131_A,Bengaluru,0,3,1738.65,0.1347,14,0,0,2193,0.1949,0.3062,0.0651,0,purchase,normal,standard
TXN_20260102_0002770,user_00447,user_00447@okbank,merchant_00358@upi,1610.59,2026-01-02T14:35:00,DEV_00447_A,Mumbai,0,2,2492.76,-0.7632,14,0,0,1802,0.2723,0.1859,0.1079,0,bill_payment,normal,standard
TXN_20260102_0004002,user_01236,user_01236@okbank,merchant_01158@upi,2669.68,2026-01-02T14:41:00,DEV_01236_A,Delhi,0,2,2587.85,0.1082,14,0,0,1709,0.0906,0.1244,0.0,0,purchase,normal,standard
TXN_20260102_0003756,user_00237,user_00237@okbank,mule.collector.36@upi,11184.49,2026-01-02T14:52:00,DEV_GRAPH_003756,Bengaluru,1,7,1970.27,9.3359,14,0,0,811,0.5981,0.9362,0.9024,1,transfer,suspicious_graph_connections,fraud_severe
TXN_20260102_0001980,user_00203,user_00203@okbank,merchant_00831@upi,1311.84,2026-01-02T14:58:00,DEV_00203_A,Chennai,0,2,1118.3,0.7796,14,0,0,1659,0.1869,0.211,0.0826,0,transfer,normal,standard
TXN_20260102_0004619,user_00645,user_00645@okbank,merchant_01075@upi,919.05,2026-01-02T15:10:00,DEV_00645_A,Bengaluru,0,1,854.59,0.2738,15,0,0,3074,0.2217,0.1866,0.0014,0,transfer,normal,standard
TXN_20260102_0004051,user_00059,user_00059@okbank,merchant_00018@upi,411.77,2026-01-02T15:50:00,DEV_00059_A,Hyderabad,0,1,398.7,0.1218,15,0,0,1198,0.1956,0.1871,0.0,0,transfer,normal,standard
TXN_20260102_0002256,user_01170,user_01170@okbank,merchant_00159@upi,771.2,2026-01-02T16:15:00,DEV_01170_A,Pune,0,1,663.45,0.4211,16,0,1,595,0.0293,0.2876,0.0273,0,transfer,normal,standard
TXN_20260102_0000063,user_00075,user_00075@okbank,merchant_00873@upi,1138.72,2026-01-02T16:55:00,DEV_00075_A,Kolkata,0,3,1055.5,0.2053,16,0,0,130,0.1751,0.2028,0.0,0,transfer,normal,standard
TXN_20260102_0004406,user_00588,user_00588@okbank,merchant_01674@upi,3395.52,2026-01-02T16:59:00,DEV_00588_A,Ahmedabad,0,2,2474.83,1.4783,16,0,0,3268,0.1542,0.0776,0.0939,0,purchase,normal,standard
TXN_20260102_0003001,user_00921,user_00921@okbank,merchant_00131@upi,816.89,2026-01-02T17:00:00,DEV_00921_A,Hyderabad,0,1,821.41,-0.0142,17,0,0,2173,0.4114,0.3148,0.0276,0,purchase,normal,standard
TXN_20260102_0002856,user_01201,user_01201@okbank,merchant_01718@upi,1366.09,2026-01-02T17:18:00,DEV_01201_A,Mumbai,0,1,2127.95,-0.9714,17,0,1,2477,0.3241,0.5015,0.0,0,transfer,normal,standard
TXN_20260102_0004908,user_00830,user_00830@okbank,merchant_01054@upi,559.93,2026-01-02T17:33:00,DEV_00830_A,Ahmedabad,0,6,622.11,-0.1673,17,0,2,655,0.0722,0.1287,0.0693,0,transfer,normal,standard
TXN_20260102_0005007,user_00166,user_00166@okbank,merchant_00243@upi,2228.1,2026-01-02T17:59:00,DEV_00166_A,Ahmedabad,0,1,1382.08,1.1537,17,0,0,1462,0.1635,0.1293,0.0,0,transfer,normal,standard
TXN_20260102_0003852,user_01009,user_01009@okbank,merchant_01112@upi,1128.27,2026-01-02T18:29:00,DEV_01009_B,Mumbai,1,1,1190.06,-0.2219,18,0,0,1032,0.1771,0.3133,0.1817,0,purchase,normal,standard
TXN_20260102_0001894,user_01065,user_01065@okbank,merchant_00403@upi,1314.13,2026-01-02T18:38:00,DEV_TRAVEL_001894,Kolkata,1,6,1440.86,-0.2209,18,0,1,2576,0.1349,0.0738,0.3813,0,bill_payment,normal,normal_edge_normal_new_device_low_value
TXN_20260102_0000369,user_00662,user_00662@okbank,merchant_01568@upi,1223.5,2026-01-02T19:21:00,DEV_00662_A,Pune,0,5,1910.94,-0.6713,19,0,1,2338,0.184,0.2867,0.0107,0,recharge,normal,standard
TXN_20260102_0005994,user_00705,user_00705@okbank,merchant_00392@upi,4034.51,2026-01-02T19:29:00,DEV_00705_A,Bengaluru,0,7,2454.02,1.4079,19,0,0,259,0.0417,0.511,0.1111,0,purchase,normal,standard
TXN_20260102_0005629,user_01335,user_01335@okbank,merchant_01508@upi,1519.89,2026-01-02T19:29:00,DEV_01335_A,Delhi,0,2,2169.5,-1.2431,19,0,1,1270,0.1651,0.1741,0.1722,0,purchase,normal,standard
TXN_20260102_0000470,user_01300,user_01300@okbank,merchant_01146@upi,684.66,2026-01-02T20:06:00,DEV_01300_A,Delhi,0,2,1046.22,-1.1082,20,0,0,3102,0.0573,0.4064,0.0446,0,purchase,normal,standard
TXN_20260102_0004063,user_00521,user_00521@okbank,merchant_01112@upi,2397.99,2026-01-02T20:12:00,DEV_00521_A,Ahmedabad,0,53,887.35,4.0043,20,0,13,1360,0.8069,0.8458,0.7521,1,transfer,high_velocity_no_new_device,fraud_severe
TXN_20260102_0001032,user_01363,user_01363@okbank,merchant_01599@upi,604.76,2026-01-02T20:16:00,DEV_01363_A,Ahmedabad,0,6,718.52,-0.5745,20,0,0,3216,0.2573,0.2518,0.1265,0,recharge,normal,standard
TXN_20260102_0005326,user_00591,user_00591@okbank,merchant_00372@upi,1831.89,2026-01-02T20:45:00,DEV_00591_A,Hyderabad,0,2,2146.38,-0.3405,20,0,1,3226,0.2543,0.5252,0.1686,0,transfer,normal,standard
TXN_20260102_0000567,user_01176,user_01176@okbank,merchant_00914@upi,1371.78,2026-01-02T20:45:00,DEV_01176_A,Delhi,0,5,409.77,8.3594,20,0,0,1593,0.0782,0.5612,0.4449,0,transfer,normal,normal_edge_normal_high_amount_known_device
TXN_20260102_0004372,user_01158,user_01158@okbank,merchant_01578@upi,2037.46,2026-01-02T21:00:00,DEV_01158_A,Ahmedabad,0,4,2440.37,-0.3243,21,0,0,2128,0.2523,0.4852,0.0066,0,transfer,normal,standard
TXN_20260102_0001926,user_01106,user_01106@okbank,merchant_01626@upi,916.66,2026-01-02T21:24:00,DEV_01106_A,Mumbai,0,2,1066.89,-0.3648,21,0,1,502,0.2434,0.2807,0.063,0,purchase,normal,standard
TXN_20260102_0003750,user_00584,user_00584@okbank,merchant_01472@upi,3387.93,2026-01-02T21:45:00,DEV_00584_A,Delhi,0,1,2705.2,0.9539,21,0,0,1403,0.2566,0.1483,0.141,0,bill_payment,normal,standard
TXN_20260102_0001601,user_00482,user_00482@okbank,merchant_01325@upi,2409.07,2026-01-02T21:56:00,DEV_00482_A,Chennai,0,25,867.49,3.6444,21,0,7,3242,0.503,0.4607,0.9416,1,transfer,high_velocity_no_new_device,fraud_moderate
TXN_20260102_0003754,user_01305,user_01305@okbank,merchant_01793@upi,619.34,2026-01-02T22:54:00,DEV_01305_A,Delhi,0,4,985.82,-0.8508,22,0,2,2701,0.1838,0.236,0.0525,0,recharge,normal,standard
TXN_20260102_0002511,user_00837,user_00837@okbank,refund.support.helpdesk.11@upi,7956.86,2026-01-02T23:33:00,DEV_NIGHT_002511,Ahmedabad,1,20,1988.91,10.5837,23,0,4,1001,0.5982,0.8195,0.9704,1,transfer,unusual_time_medium_deviation,fraud_severe
TXN_20260103_0004259,user_00439,user_00439@okbank,merchant_00142@upi,1260.08,2026-01-03T05:12:00,DEV_00439_A,Hyderabad,0,2,3144.81,-1.8554,5,1,0,224,0.1419,0.4215,0.1128,0,bill_payment,normal,standard
TXN_20260103_0003773,user_01128,user_01128@okbank,merchant_00800@upi,300.54,2026-01-03T07:06:00,DEV_01128_A,Hyderabad,0,4,315.95,-0.1187,7,0,2,1636,0.1328,0.2111,0.0592,0,purchase,normal,standard
TXN_20260103_0003043,user_00737,user_00737@okbank,merchant_01034@upi,823.69,2026-01-03T07:13:00,DEV_00737_A,Pune,0,1,756.01,0.2848,7,0,0,1340,0.0387,0.3735,0.0354,0,purchase,normal,standard
TXN_20260103_0003019,user_00978,user_00978@okbank,merchant_00248@upi,2049.96,2026-01-03T07:44:00,DEV_00978_A,Mumbai,0,2,1934.78,0.1792,7,0,0,95,0.1064,0.3287,0.0563,0,bill_payment,normal,standard
TXN_20260103_0004254,user_01351,user_01351@okbank,merchant_00512@upi,2768.07,2026-01-03T07:47:00,DEV_01351_A,Kolkata,0,4,1997.8,1.0833,7,0,0,1002,0.5426,0.2888,0.0829,0,transfer,normal,standard
TXN_20260103_0002005,user_00376,user_00376@okbank,merchant_01505@upi,4395.26,2026-01-03T07:54:00,DEV_00376_A,Pune,0,2,4972.78,-0.3364,7,0,0,2755,0.2883,0.0827,0.0714,0,bill_payment,normal,standard
TXN_20260103_0002987,user_00437,user_00437@okbank,merchant_00604@upi,2036.63,2026-01-03T08:39:00,DEV_00437_A,Mumbai,0,1,1343.95,1.5274,8,0,0,1833,0.3052,0.0349,0.0768,0,transfer,normal,standard
